2016-10-17_10:39:45.548  [软件] 自动校时失败，请使用管理员权限运行本程序，谢谢！。
2016-10-17_10:39:50.453  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:50.553  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:50.553  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:50.553  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:50.656  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:50.657  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:50.657  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:50.752  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:50.752  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:50.752  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:50.865  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:50.865  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:50.865  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:50.948  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:50.948  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:50.948  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:51.053  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:51.053  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:51.053  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:51.152  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:51.153  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:51.153  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:51.248  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:51.248  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:51.248  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:51.357  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:51.357  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:51.357  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:51.448  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:51.448  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:51.448  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:51.554  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:51.554  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:51.554  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:51.648  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:51.648  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:51.648  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:51.755  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:51.755  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:51.755  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:51.954  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:51.954  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:51.954  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:52.054  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:52.054  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:52.054  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:52.153  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:52.154  [维护] 10:33:35车载"接收器1故障"
