2016-10-13_18:18:14.634 [软件] DMI自检完毕，准备启动。
2016-10-13_18:18:36.532 [车载] 当前超速。
2016-10-13_18:18:36.532 [车载] 前方限速11公里每小时。
2016-10-13_18:18:36.532 [车载] 车辆紧急制动。
2016-10-13_18:18:36.732 [车载] 车辆常用制动。
2016-10-13_18:18:36.732 [车载] 当前超速。
2016-10-13_18:18:36.732 [车载] 前方限速11公里每小时。
2016-10-13_18:18:36.732 [车载] 车辆紧急制动。
2016-10-13_18:18:36.836 [车载] 车辆常用制动。
2016-10-13_18:18:36.836 [车载] 当前超速。
2016-10-13_18:18:36.836 [车载] 前方限速11公里每小时。
2016-10-13_18:18:36.836 [车载] 车辆紧急制动。
2016-10-13_18:18:37.040 [车载] 车辆常用制动。
2016-10-13_18:18:37.040 [车载] 当前超速。
2016-10-13_18:18:37.040 [车载] 前方限速11公里每小时。
2016-10-13_18:18:37.040 [车载] 车辆紧急制动。
2016-10-13_18:18:37.132 [车载] 车辆常用制动。
2016-10-13_18:18:37.132 [车载] 当前超速。
2016-10-13_18:18:37.132 [车载] 前方限速11公里每小时。
2016-10-13_18:18:37.132 [车载] 车辆紧急制动。
2016-10-13_18:18:37.345 [车载] 车辆常用制动。
2016-10-13_18:18:37.345 [车载] 当前超速。
2016-10-13_18:18:37.345 [车载] 前方限速11公里每小时。
2016-10-13_18:18:37.345 [车载] 车辆紧急制动。
2016-10-13_18:18:37.442 [车载] 车辆常用制动。
2016-10-13_18:18:37.442 [车载] 当前超速。
2016-10-13_18:18:37.442 [车载] 前方限速11公里每小时。
2016-10-13_18:18:37.442 [车载] 车辆紧急制动。
2016-10-13_18:18:37.539 [车载] 车辆常用制动。
2016-10-13_18:18:37.539 [车载] 当前超速。
2016-10-13_18:18:37.539 [车载] 前方限速11公里每小时。
2016-10-13_18:18:37.539 [车载] 车辆紧急制动。
2016-10-13_18:18:37.642 [车载] 车辆常用制动。
2016-10-13_18:18:37.642 [车载] 当前超速。
2016-10-13_18:18:37.642 [车载] 前方限速11公里每小时。
2016-10-13_18:18:37.642 [车载] 车辆紧急制动。
2016-10-13_18:18:37.733 [车载] 车辆常用制动。
2016-10-13_18:18:37.733 [车载] 当前超速。
2016-10-13_18:18:37.733 [车载] 前方限速11公里每小时。
2016-10-13_18:18:37.733 [车载] 车辆紧急制动。
2016-10-13_18:18:37.837 [车载] 车辆常用制动。
2016-10-13_18:18:37.837 [车载] 当前超速。
2016-10-13_18:18:37.837 [车载] 前方限速11公里每小时。
2016-10-13_18:18:37.838 [车载] 车辆紧急制动。
2016-10-13_18:18:37.934 [车载] 车辆常用制动。
2016-10-13_18:18:37.934 [车载] 当前超速。
2016-10-13_18:18:37.934 [车载] 前方限速11公里每小时。
2016-10-13_18:18:37.934 [车载] 车辆紧急制动。
2016-10-13_18:18:38.033 [车载] 车辆常用制动。
2016-10-13_18:18:38.033 [车载] 当前超速。
2016-10-13_18:18:38.033 [车载] 前方限速11公里每小时。
2016-10-13_18:18:38.033 [车载] 车辆紧急制动。
2016-10-13_18:18:38.134 [车载] 车辆常用制动。
2016-10-13_18:18:38.134 [车载] 当前超速。
2016-10-13_18:18:38.134 [车载] 前方限速11公里每小时。
2016-10-13_18:18:38.134 [车载] 车辆紧急制动。
2016-10-13_18:18:38.336 [车载] 车辆常用制动。
2016-10-13_18:18:38.336 [车载] 当前超速。
2016-10-13_18:18:38.336 [车载] 前方限速11公里每小时。
2016-10-13_18:18:38.336 [车载] 车辆紧急制动。
2016-10-13_18:18:38.442 [车载] 车辆常用制动。
2016-10-13_18:18:38.442 [车载] 当前超速。
2016-10-13_18:18:38.442 [车载] 前方限速11公里每小时。
2016-10-13_18:18:38.442 [车载] 车辆紧急制动。
2016-10-13_18:18:38.643 [车载] 车辆常用制动。
2016-10-13_18:18:38.643 [车载] 当前超速。
2016-10-13_18:18:38.643 [车载] 前方限速11公里每小时。
2016-10-13_18:18:38.643 [车载] 车辆紧急制动。
2016-10-13_18:18:38.834 [车载] 车辆常用制动。
2016-10-13_18:18:38.834 [车载] 当前超速。
2016-10-13_18:18:38.834 [车载] 前方限速11公里每小时。
2016-10-13_18:18:38.834 [车载] 车辆紧急制动。
2016-10-13_18:18:38.939 [车载] 车辆常用制动。
2016-10-13_18:18:38.939 [车载] 当前超速。
2016-10-13_18:18:38.939 [车载] 前方限速11公里每小时。
2016-10-13_18:18:38.939 [车载] 车辆紧急制动。
2016-10-13_18:18:39.041 [车载] 车辆常用制动。
2016-10-13_18:18:39.042 [车载] 当前超速。
2016-10-13_18:18:39.042 [车载] 前方限速11公里每小时。
2016-10-13_18:18:39.042 [车载] 车辆紧急制动。
2016-10-13_18:18:39.234 [车载] 车辆常用制动。
2016-10-13_18:18:39.234 [车载] 当前超速。
2016-10-13_18:18:39.234 [车载] 前方限速11公里每小时。
2016-10-13_18:18:39.234 [车载] 车辆紧急制动。
2016-10-13_18:18:39.335 [车载] 车辆常用制动。
2016-10-13_18:18:39.335 [车载] 当前超速。
2016-10-13_18:18:39.335 [车载] 前方限速11公里每小时。
2016-10-13_18:18:39.335 [车载] 车辆紧急制动。
2016-10-13_18:18:39.482 [车载] 车辆常用制动。
2016-10-13_18:18:39.482 [车载] 当前超速。
2016-10-13_18:18:39.482 [车载] 前方限速11公里每小时。
2016-10-13_18:18:39.482 [车载] 车辆紧急制动。
2016-10-13_18:18:39.634 [车载] 车辆常用制动。
2016-10-13_18:18:39.635 [车载] 当前超速。
2016-10-13_18:18:39.635 [车载] 前方限速11公里每小时。
2016-10-13_18:18:39.635 [车载] 车辆紧急制动。
2016-10-13_18:18:39.734 [车载] 车辆常用制动。
2016-10-13_18:18:39.734 [车载] 当前超速。
2016-10-13_18:18:39.734 [车载] 前方限速11公里每小时。
2016-10-13_18:18:39.734 [车载] 车辆紧急制动。
2016-10-13_18:18:39.833 [车载] 车辆常用制动。
2016-10-13_18:18:39.833 [车载] 当前超速。
2016-10-13_18:18:39.833 [车载] 前方限速11公里每小时。
2016-10-13_18:18:39.833 [车载] 车辆紧急制动。
2016-10-13_18:18:39.939 [车载] 车辆常用制动。
2016-10-13_18:18:39.939 [车载] 当前超速。
2016-10-13_18:18:39.939 [车载] 前方限速11公里每小时。
2016-10-13_18:18:39.939 [车载] 车辆紧急制动。
2016-10-13_18:18:40.036 [车载] 车辆常用制动。
2016-10-13_18:18:40.036 [车载] 当前超速。
2016-10-13_18:18:40.036 [车载] 前方限速11公里每小时。
2016-10-13_18:18:40.036 [车载] 车辆紧急制动。
2016-10-13_18:18:40.133 [车载] 车辆常用制动。
2016-10-13_18:18:40.133 [车载] 当前超速。
2016-10-13_18:18:40.133 [车载] 前方限速11公里每小时。
2016-10-13_18:18:40.133 [车载] 车辆紧急制动。
2016-10-13_18:18:40.234 [车载] 车辆常用制动。
2016-10-13_18:18:40.234 [车载] 当前超速。
2016-10-13_18:18:40.234 [车载] 前方限速11公里每小时。
2016-10-13_18:18:40.234 [车载] 车辆紧急制动。
2016-10-13_18:18:40.343 [车载] 车辆常用制动。
2016-10-13_18:18:40.343 [车载] 当前超速。
2016-10-13_18:18:40.343 [车载] 前方限速11公里每小时。
2016-10-13_18:18:40.343 [车载] 车辆紧急制动。
2016-10-13_18:18:40.433 [车载] 车辆常用制动。
2016-10-13_18:18:40.433 [车载] 当前超速。
2016-10-13_18:18:40.433 [车载] 前方限速11公里每小时。
2016-10-13_18:18:40.433 [车载] 车辆紧急制动。
2016-10-13_18:18:40.536 [车载] 车辆常用制动。
2016-10-13_18:18:40.536 [车载] 当前超速。
2016-10-13_18:18:40.536 [车载] 前方限速11公里每小时。
2016-10-13_18:18:40.536 [车载] 车辆紧急制动。
2016-10-13_18:18:40.636 [车载] 车辆常用制动。
2016-10-13_18:18:40.636 [车载] 当前超速。
2016-10-13_18:18:40.636 [车载] 前方限速11公里每小时。
2016-10-13_18:18:40.636 [车载] 车辆紧急制动。
2016-10-13_18:18:40.735 [车载] 车辆常用制动。
2016-10-13_18:18:40.735 [车载] 当前超速。
2016-10-13_18:18:40.735 [车载] 前方限速11公里每小时。
2016-10-13_18:18:40.735 [车载] 车辆紧急制动。
2016-10-13_18:18:40.851 [车载] 车辆常用制动。
2016-10-13_18:18:40.851 [车载] 当前超速。
2016-10-13_18:18:40.851 [车载] 前方限速11公里每小时。
2016-10-13_18:18:40.851 [车载] 车辆紧急制动。
2016-10-13_18:18:41.039 [车载] 车辆常用制动。
2016-10-13_18:18:41.039 [车载] 当前超速。
2016-10-13_18:18:41.039 [车载] 前方限速11公里每小时。
2016-10-13_18:18:41.039 [车载] 车辆紧急制动。
2016-10-13_18:18:41.142 [车载] 车辆常用制动。
2016-10-13_18:18:41.142 [车载] 当前超速。
2016-10-13_18:18:41.142 [车载] 前方限速11公里每小时。
2016-10-13_18:18:41.142 [车载] 车辆紧急制动。
2016-10-13_18:18:41.350 [车载] 车辆常用制动。
2016-10-13_18:18:41.354 [车载] 当前超速。
2016-10-13_18:18:41.354 [车载] 前方限速11公里每小时。
2016-10-13_18:18:41.354 [车载] 车辆紧急制动。
2016-10-13_18:18:41.433 [车载] 车辆常用制动。
2016-10-13_18:18:41.433 [车载] 当前超速。
2016-10-13_18:18:41.433 [车载] 前方限速11公里每小时。
2016-10-13_18:18:41.433 [车载] 车辆紧急制动。
2016-10-13_18:18:41.553 [车载] 车辆常用制动。
2016-10-13_18:18:41.553 [车载] 当前超速。
2016-10-13_18:18:41.553 [车载] 前方限速11公里每小时。
2016-10-13_18:18:41.553 [车载] 车辆紧急制动。
2016-10-13_18:18:41.740 [车载] 车辆常用制动。
2016-10-13_18:18:41.740 [车载] 当前超速。
2016-10-13_18:18:41.740 [车载] 前方限速11公里每小时。
2016-10-13_18:18:41.740 [车载] 车辆紧急制动。
2016-10-13_18:18:41.838 [车载] 车辆常用制动。
2016-10-13_18:18:41.838 [车载] 当前超速。
2016-10-13_18:18:41.838 [车载] 前方限速11公里每小时。
2016-10-13_18:18:41.838 [车载] 车辆紧急制动。
2016-10-13_18:18:41.934 [车载] 车辆常用制动。
2016-10-13_18:18:41.934 [车载] 当前超速。
2016-10-13_18:18:41.934 [车载] 前方限速11公里每小时。
2016-10-13_18:18:41.934 [车载] 车辆紧急制动。
2016-10-13_18:18:42.038 [车载] 车辆常用制动。
2016-10-13_18:18:42.038 [车载] 当前超速。
2016-10-13_18:18:42.038 [车载] 前方限速11公里每小时。
2016-10-13_18:18:42.038 [车载] 车辆紧急制动。
2016-10-13_18:18:42.136 [车载] 车辆常用制动。
2016-10-13_18:18:42.136 [车载] 当前超速。
2016-10-13_18:18:42.137 [车载] 前方限速11公里每小时。
2016-10-13_18:18:42.137 [车载] 车辆紧急制动。
2016-10-13_18:18:42.244 [车载] 车辆常用制动。
2016-10-13_18:18:42.244 [车载] 当前超速。
2016-10-13_18:18:42.244 [车载] 前方限速11公里每小时。
2016-10-13_18:18:42.244 [车载] 车辆紧急制动。
2016-10-13_18:18:42.340 [车载] 车辆常用制动。
2016-10-13_18:18:42.341 [车载] 当前超速。
2016-10-13_18:18:42.341 [车载] 前方限速11公里每小时。
2016-10-13_18:18:42.341 [车载] 车辆紧急制动。
2016-10-13_18:18:42.440 [车载] 车辆常用制动。
2016-10-13_18:18:42.440 [车载] 当前超速。
2016-10-13_18:18:42.440 [车载] 前方限速11公里每小时。
2016-10-13_18:18:42.440 [车载] 车辆紧急制动。
2016-10-13_18:18:42.533 [车载] 车辆常用制动。
2016-10-13_18:18:42.533 [车载] 当前超速。
2016-10-13_18:18:42.533 [车载] 前方限速11公里每小时。
2016-10-13_18:18:42.533 [车载] 车辆紧急制动。
2016-10-13_18:18:42.633 [车载] 车辆常用制动。
2016-10-13_18:18:42.633 [车载] 当前超速。
2016-10-13_18:18:42.633 [车载] 前方限速11公里每小时。
2016-10-13_18:18:42.633 [车载] 车辆紧急制动。
2016-10-13_18:18:42.734 [车载] 车辆常用制动。
2016-10-13_18:18:42.734 [车载] 当前超速。
2016-10-13_18:18:42.734 [车载] 前方限速11公里每小时。
2016-10-13_18:18:42.734 [车载] 车辆紧急制动。
2016-10-13_18:18:42.838 [车载] 车辆常用制动。
2016-10-13_18:18:42.838 [车载] 当前超速。
2016-10-13_18:18:42.839 [车载] 前方限速11公里每小时。
2016-10-13_18:18:42.839 [车载] 车辆紧急制动。
2016-10-13_18:18:42.937 [车载] 车辆常用制动。
2016-10-13_18:18:42.937 [车载] 当前超速。
2016-10-13_18:18:42.937 [车载] 前方限速11公里每小时。
2016-10-13_18:18:42.937 [车载] 车辆紧急制动。
2016-10-13_18:18:43.034 [车载] 车辆常用制动。
2016-10-13_18:18:43.034 [车载] 当前超速。
2016-10-13_18:18:43.034 [车载] 前方限速11公里每小时。
2016-10-13_18:18:43.034 [车载] 车辆紧急制动。
2016-10-13_18:18:43.133 [车载] 车辆常用制动。
2016-10-13_18:18:43.133 [车载] 当前超速。
2016-10-13_18:18:43.133 [车载] 前方限速11公里每小时。
2016-10-13_18:18:43.133 [车载] 车辆紧急制动。
2016-10-13_18:18:43.252 [车载] 车辆常用制动。
2016-10-13_18:18:43.252 [车载] 当前超速。
2016-10-13_18:18:43.252 [车载] 前方限速11公里每小时。
2016-10-13_18:18:43.252 [车载] 车辆紧急制动。
2016-10-13_18:18:43.338 [车载] 车辆常用制动。
2016-10-13_18:18:43.338 [车载] 当前超速。
2016-10-13_18:18:43.338 [车载] 前方限速11公里每小时。
2016-10-13_18:18:43.338 [车载] 车辆紧急制动。
2016-10-13_18:18:43.461 [车载] 车辆常用制动。
2016-10-13_18:18:43.461 [车载] 当前超速。
2016-10-13_18:18:43.461 [车载] 前方限速11公里每小时。
2016-10-13_18:18:43.461 [车载] 车辆紧急制动。
2016-10-13_18:18:43.533 [车载] 车辆常用制动。
2016-10-13_18:18:43.533 [车载] 当前超速。
2016-10-13_18:18:43.533 [车载] 前方限速11公里每小时。
2016-10-13_18:18:43.533 [车载] 车辆紧急制动。
2016-10-13_18:18:43.639 [车载] 车辆常用制动。
2016-10-13_18:18:43.639 [车载] 当前超速。
2016-10-13_18:18:43.639 [车载] 前方限速11公里每小时。
2016-10-13_18:18:43.639 [车载] 车辆紧急制动。
2016-10-13_18:18:43.838 [车载] 车辆常用制动。
2016-10-13_18:18:43.839 [车载] 当前超速。
2016-10-13_18:18:43.839 [车载] 前方限速11公里每小时。
2016-10-13_18:18:43.839 [车载] 车辆紧急制动。
2016-10-13_18:18:43.934 [车载] 车辆常用制动。
2016-10-13_18:18:43.934 [车载] 当前超速。
2016-10-13_18:18:43.934 [车载] 前方限速11公里每小时。
2016-10-13_18:18:43.934 [车载] 车辆紧急制动。
2016-10-13_18:18:44.037 [车载] 车辆常用制动。
2016-10-13_18:18:44.037 [车载] 当前超速。
2016-10-13_18:18:44.037 [车载] 前方限速11公里每小时。
2016-10-13_18:18:44.037 [车载] 车辆紧急制动。
2016-10-13_18:18:44.134 [车载] 车辆常用制动。
2016-10-13_18:18:44.134 [车载] 当前超速。
2016-10-13_18:18:44.134 [车载] 前方限速11公里每小时。
2016-10-13_18:18:44.134 [车载] 车辆紧急制动。
2016-10-13_18:18:44.240 [车载] 车辆常用制动。
2016-10-13_18:18:44.240 [车载] 当前超速。
2016-10-13_18:18:44.240 [车载] 前方限速11公里每小时。
2016-10-13_18:18:44.240 [车载] 车辆紧急制动。
2016-10-13_18:18:44.342 [车载] 车辆常用制动。
2016-10-13_18:18:44.342 [车载] 当前超速。
2016-10-13_18:18:44.342 [车载] 前方限速11公里每小时。
2016-10-13_18:18:44.342 [车载] 车辆紧急制动。
2016-10-13_18:18:44.436 [车载] 车辆常用制动。
2016-10-13_18:18:44.437 [车载] 当前超速。
2016-10-13_18:18:44.437 [车载] 前方限速11公里每小时。
2016-10-13_18:18:44.437 [车载] 车辆紧急制动。
2016-10-13_18:18:44.538 [车载] 车辆常用制动。
2016-10-13_18:18:44.538 [车载] 当前超速。
2016-10-13_18:18:44.538 [车载] 前方限速11公里每小时。
2016-10-13_18:18:44.538 [车载] 车辆紧急制动。
2016-10-13_18:18:44.633 [车载] 车辆常用制动。
2016-10-13_18:18:44.633 [车载] 当前超速。
2016-10-13_18:18:44.633 [车载] 前方限速11公里每小时。
2016-10-13_18:18:44.633 [车载] 车辆紧急制动。
2016-10-13_18:18:44.739 [车载] 车辆常用制动。
2016-10-13_18:18:44.739 [车载] 当前超速。
2016-10-13_18:18:44.739 [车载] 前方限速11公里每小时。
2016-10-13_18:18:44.739 [车载] 车辆紧急制动。
2016-10-13_18:18:44.833 [车载] 车辆常用制动。
2016-10-13_18:18:44.833 [车载] 当前超速。
2016-10-13_18:18:44.833 [车载] 前方限速11公里每小时。
2016-10-13_18:18:44.833 [车载] 车辆紧急制动。
2016-10-13_18:18:44.938 [车载] 车辆常用制动。
2016-10-13_18:18:44.938 [车载] 当前超速。
2016-10-13_18:18:44.938 [车载] 前方限速11公里每小时。
2016-10-13_18:18:44.938 [车载] 车辆紧急制动。
2016-10-13_18:18:45.033 [车载] 车辆常用制动。
2016-10-13_18:18:45.033 [车载] 当前超速。
2016-10-13_18:18:45.033 [车载] 前方限速11公里每小时。
2016-10-13_18:18:45.033 [车载] 车辆紧急制动。
2016-10-13_18:18:45.140 [车载] 车辆常用制动。
2016-10-13_18:18:45.140 [车载] 当前超速。
2016-10-13_18:18:45.140 [车载] 前方限速11公里每小时。
2016-10-13_18:18:45.140 [车载] 车辆紧急制动。
2016-10-13_18:18:45.233 [车载] 车辆常用制动。
2016-10-13_18:18:45.233 [车载] 当前超速。
2016-10-13_18:18:45.233 [车载] 前方限速11公里每小时。
2016-10-13_18:18:45.233 [车载] 车辆紧急制动。
2016-10-13_18:18:45.338 [车载] 车辆常用制动。
2016-10-13_18:18:45.338 [车载] 当前超速。
2016-10-13_18:18:45.338 [车载] 前方限速11公里每小时。
2016-10-13_18:18:45.338 [车载] 车辆紧急制动。
2016-10-13_18:18:45.433 [车载] 车辆常用制动。
2016-10-13_18:18:45.433 [车载] 当前超速。
2016-10-13_18:18:45.433 [车载] 前方限速11公里每小时。
2016-10-13_18:18:45.433 [车载] 车辆紧急制动。
2016-10-13_18:18:45.641 [车载] 车辆常用制动。
2016-10-13_18:18:45.641 [车载] 当前超速。
2016-10-13_18:18:45.641 [车载] 前方限速11公里每小时。
2016-10-13_18:18:45.641 [车载] 车辆紧急制动。
2016-10-13_18:18:45.732 [车载] 车辆常用制动。
2016-10-13_18:18:45.732 [车载] 当前超速。
2016-10-13_18:18:45.732 [车载] 前方限速11公里每小时。
2016-10-13_18:18:45.732 [车载] 车辆紧急制动。
2016-10-13_18:18:45.832 [车载] 车辆常用制动。
2016-10-13_18:18:45.832 [车载] 当前超速。
2016-10-13_18:18:45.832 [车载] 前方限速11公里每小时。
2016-10-13_18:18:45.832 [车载] 车辆紧急制动。
2016-10-13_18:18:45.936 [车载] 车辆常用制动。
2016-10-13_18:18:45.936 [车载] 当前超速。
2016-10-13_18:18:45.936 [车载] 前方限速11公里每小时。
2016-10-13_18:18:45.936 [车载] 车辆紧急制动。
2016-10-13_18:18:46.033 [车载] 车辆常用制动。
2016-10-13_18:18:46.033 [车载] 当前超速。
2016-10-13_18:18:46.033 [车载] 前方限速11公里每小时。
2016-10-13_18:18:46.033 [车载] 车辆紧急制动。
2016-10-13_18:18:46.152 [车载] 车辆常用制动。
2016-10-13_18:18:46.209 [车载] 当前超速。
2016-10-13_18:18:46.209 [车载] 前方限速11公里每小时。
2016-10-13_18:18:46.210 [车载] 车辆紧急制动。
2016-10-13_18:18:46.245 [车载] 车辆常用制动。
2016-10-13_18:18:46.245 [车载] 当前超速。
2016-10-13_18:18:46.245 [车载] 前方限速11公里每小时。
2016-10-13_18:18:46.245 [车载] 车辆紧急制动。
2016-10-13_18:18:46.343 [车载] 车辆常用制动。
2016-10-13_18:18:46.343 [车载] 当前超速。
2016-10-13_18:18:46.343 [车载] 前方限速11公里每小时。
2016-10-13_18:18:46.343 [车载] 车辆紧急制动。
2016-10-13_18:18:46.453 [车载] 车辆常用制动。
2016-10-13_18:18:46.454 [车载] 当前超速。
2016-10-13_18:18:46.454 [车载] 前方限速11公里每小时。
2016-10-13_18:18:46.454 [车载] 车辆紧急制动。
2016-10-13_18:18:46.536 [车载] 车辆常用制动。
2016-10-13_18:18:46.537 [车载] 当前超速。
2016-10-13_18:18:46.635 [车载] 前方限速5公里每小时。
2016-10-13_18:18:46.635 [车载] 车辆紧急制动。
2016-10-13_18:18:46.733 [车载] 车辆常用制动。
2016-10-13_18:18:46.734 [车载] 车辆紧急制动。
2016-10-13_18:18:46.834 [车载] 车辆常用制动。
2016-10-13_18:18:46.834 [车载] 车辆紧急制动。
2016-10-13_18:18:46.933 [车载] 车辆常用制动。
2016-10-13_18:18:46.933 [车载] 车辆紧急制动。
2016-10-13_18:18:47.036 [车载] 车辆常用制动。
2016-10-13_18:18:47.036 [车载] 车辆紧急制动。
2016-10-13_18:18:47.134 [车载] 车辆常用制动。
2016-10-13_18:18:47.134 [车载] 车辆紧急制动。
2016-10-13_18:18:47.240 [车载] 车辆常用制动。
2016-10-13_18:18:47.240 [车载] 车辆紧急制动。
2016-10-13_18:18:47.333 [车载] 车辆常用制动。
2016-10-13_18:18:47.334 [车载] 车辆紧急制动。
2016-10-13_18:18:47.435 [车载] 车辆常用制动。
2016-10-13_18:18:47.435 [车载] 车辆紧急制动。
2016-10-13_18:18:47.531 [车载] 车辆常用制动。
2016-10-13_18:18:47.531 [车载] 车辆紧急制动。
2016-10-13_18:18:47.632 [车载] 车辆常用制动。
2016-10-13_18:18:47.632 [车载] 车辆紧急制动。
2016-10-13_18:18:47.735 [车载] 车辆常用制动。
2016-10-13_18:18:47.735 [车载] 车辆紧急制动。
2016-10-13_18:18:47.836 [车载] 车辆常用制动。
2016-10-13_18:18:47.836 [车载] 车辆紧急制动。
2016-10-13_18:18:48.032 [车载] 车辆常用制动。
2016-10-13_18:18:48.032 [车载] 车辆紧急制动。
2016-10-13_18:18:48.131 [车载] 车辆常用制动。
2016-10-13_18:18:48.132 [车载] 车辆紧急制动。
2016-10-13_18:18:48.233 [车载] 车辆常用制动。
2016-10-13_18:18:48.233 [车载] 车辆紧急制动。
2016-10-13_18:18:48.349 [车载] 车辆常用制动。
2016-10-13_18:18:48.350 [车载] 车辆紧急制动。
2016-10-13_18:18:48.534 [车载] 车辆常用制动。
2016-10-13_18:18:48.534 [车载] 车辆紧急制动。
2016-10-13_18:18:48.637 [车载] 车辆常用制动。
2016-10-13_18:18:48.637 [车载] 车辆紧急制动。
2016-10-13_18:18:48.737 [车载] 车辆常用制动。
2016-10-13_18:18:48.737 [车载] 车辆紧急制动。
2016-10-13_18:18:48.831 [车载] 车辆常用制动。
2016-10-13_18:18:48.831 [车载] 车辆紧急制动。
2016-10-13_18:18:48.935 [车载] 车辆常用制动。
2016-10-13_18:18:48.935 [车载] 车辆紧急制动。
2016-10-13_18:18:49.035 [车载] 车辆常用制动。
2016-10-13_18:18:49.035 [车载] 车辆紧急制动。
2016-10-13_18:18:49.132 [车载] 车辆常用制动。
2016-10-13_18:18:49.132 [车载] 车辆紧急制动。
2016-10-13_18:18:49.234 [车载] 车辆常用制动。
2016-10-13_18:18:49.234 [车载] 车辆紧急制动。
2016-10-13_18:18:49.334 [车载] 车辆常用制动。
2016-10-13_18:18:49.334 [车载] 车辆紧急制动。
2016-10-13_18:18:49.431 [车载] 车辆常用制动。
2016-10-13_18:18:49.432 [车载] 车辆紧急制动。
2016-10-13_18:18:49.534 [车载] 车辆常用制动。
2016-10-13_18:18:49.534 [车载] 车辆紧急制动。
2016-10-13_18:18:49.635 [车载] 车辆常用制动。
2016-10-13_18:18:49.635 [车载] 车辆紧急制动。
2016-10-13_18:18:49.732 [车载] 车辆常用制动。
2016-10-13_18:18:49.732 [车载] 车辆紧急制动。
2016-10-13_18:18:49.834 [车载] 车辆常用制动。
2016-10-13_18:18:49.834 [车载] 车辆紧急制动。
2016-10-13_18:18:49.936 [车载] 车辆常用制动。
2016-10-13_18:18:49.937 [车载] 车辆紧急制动。
2016-10-13_18:18:50.035 [车载] 车辆常用制动。
2016-10-13_18:18:50.035 [车载] 车辆紧急制动。
2016-10-13_18:18:50.135 [车载] 车辆常用制动。
2016-10-13_18:18:50.135 [车载] 车辆紧急制动。
2016-10-13_18:18:50.232 [车载] 车辆常用制动。
2016-10-13_18:18:50.232 [车载] 车辆紧急制动。
2016-10-13_18:18:50.332 [车载] 车辆常用制动。
2016-10-13_18:18:50.332 [车载] 车辆紧急制动。
2016-10-13_18:18:50.434 [车载] 车辆常用制动。
2016-10-13_18:18:50.434 [车载] 车辆紧急制动。
2016-10-13_18:18:50.534 [车载] 车辆常用制动。
2016-10-13_18:18:50.534 [车载] 车辆紧急制动。
2016-10-13_18:18:50.732 [车载] 车辆常用制动。
2016-10-13_18:18:50.732 [车载] 车辆紧急制动。
2016-10-13_18:18:50.838 [车载] 车辆常用制动。
2016-10-13_18:18:50.838 [车载] 车辆紧急制动。
2016-10-13_18:18:50.931 [车载] 车辆常用制动。
2016-10-13_18:18:50.931 [车载] 车辆紧急制动。
2016-10-13_18:18:51.033 [车载] 车辆常用制动。
2016-10-13_18:18:51.033 [车载] 车辆紧急制动。
2016-10-13_18:18:51.135 [车载] 车辆常用制动。
2016-10-13_18:18:51.135 [车载] 车辆紧急制动。
2016-10-13_18:18:51.231 [车载] 车辆常用制动。
2016-10-13_18:18:51.231 [车载] 车辆紧急制动。
2016-10-13_18:18:51.356 [车载] 车辆常用制动。
2016-10-13_18:18:51.356 [车载] 车辆紧急制动。
2016-10-13_18:18:51.462 [车载] 车辆常用制动。
2016-10-13_18:18:51.462 [车载] 车辆紧急制动。
2016-10-13_18:18:51.531 [车载] 车辆常用制动。
2016-10-13_18:18:51.531 [车载] 车辆紧急制动。
2016-10-13_18:18:51.633 [车载] 车辆常用制动。
2016-10-13_18:18:51.633 [车载] 车辆紧急制动。
2016-10-13_18:18:51.735 [车载] 车辆常用制动。
2016-10-13_18:18:51.735 [车载] 车辆紧急制动。
2016-10-13_18:18:51.936 [车载] 车辆常用制动。
2016-10-13_18:18:51.936 [车载] 车辆紧急制动。
2016-10-13_18:18:52.036 [车载] 车辆常用制动。
2016-10-13_18:18:52.036 [车载] 车辆紧急制动。
2016-10-13_18:18:52.131 [车载] 车辆常用制动。
2016-10-13_18:18:52.131 [车载] 车辆紧急制动。
2016-10-13_18:18:52.231 [车载] 车辆常用制动。
2016-10-13_18:18:52.232 [车载] 车辆紧急制动。
2016-10-13_18:18:52.332 [车载] 车辆常用制动。
2016-10-13_18:18:52.332 [车载] 车辆紧急制动。
2016-10-13_18:18:52.433 [车载] 车辆常用制动。
2016-10-13_18:18:52.433 [车载] 车辆紧急制动。
2016-10-13_18:18:52.631 [车载] 车辆常用制动。
2016-10-13_18:18:52.631 [车载] 车辆紧急制动。
2016-10-13_18:18:52.831 [车载] 车辆常用制动。
2016-10-13_18:18:52.831 [车载] 车辆紧急制动。
2016-10-13_18:18:52.935 [车载] 车辆常用制动。
2016-10-13_18:18:52.935 [车载] 车辆紧急制动。
2016-10-13_18:18:53.135 [车载] 车辆常用制动。
2016-10-13_18:18:53.135 [车载] 车辆紧急制动。
2016-10-13_18:18:53.234 [车载] 车辆常用制动。
2016-10-13_18:18:53.234 [车载] 车辆紧急制动。
2016-10-13_18:18:53.333 [车载] 车辆常用制动。
2016-10-13_18:18:53.333 [车载] 车辆紧急制动。
2016-10-13_18:18:53.539 [车载] 车辆常用制动。
2016-10-13_18:18:53.539 [车载] 车辆紧急制动。
2016-10-13_18:18:53.733 [车载] 车辆常用制动。
2016-10-13_18:18:53.733 [车载] 车辆紧急制动。
2016-10-13_18:18:53.835 [车载] 车辆常用制动。
